NA,,Alberta,Canada,11/1/2020 4:36,53.9333,-116.5765,27664,323,22169,5172,"Alberta, Canada",626.8544027,1.167582418
NA,,British Columbia,Canada,11/1/2020 4:36,53.7267,-127.6476,14381,263,11728,2390,"British Columbia, Canada",281.3780776,1.828801891
NA,,Diamond Princess,Canada,11/1/2020 4:36,NA,NA,0,1,0,NA,"Diamond Princess, Canada",NA,NA
NA,,Grand Princess,Canada,11/1/2020 4:36,NA,NA,13,0,13,0,"Grand Princess, Canada",NA,0
NA,,Manitoba,Canada,11/1/2020 4:36,53.7609,-98.8139,5723,67,2646,3010,"Manitoba, Canada",415.4576677,1.17071466
NA,,New Brunswick,Canada,11/1/2020 4:36,46.5653,-66.4619,343,6,299,38,"New Brunswick, Canada",43.97475362,1.749271137
NA,,Newfoundland and Labrador,Canada,11/1/2020 4:36,53.1355,-57.6604,291,4,284,3,"Newfoundland and Labrador, Canada",55.81502402,1.374570447
NA,,Northwest Territories,Canada,11/1/2020 4:36,64.8255,-124.8457,10,0,8,2,"Northwest Territories,Canada",22.26973098,0
NA,,Nova Scotia,Canada,11/1/2020 4:36,44.682,-63.7443,1109,65,1033,11,"Nova Scotia, Canada",113.4576764,5.861136159
NA,,Nunavut,Canada,11/1/2020 4:36,70.2998,-83.1076,0,0,0,0,"Nunavut, Canada",NA,NA
NA,,Ontario,Canada,11/1/2020 4:36,51.2538,-85.3232,78532,3186,67735,7611,"Ontario, Canada",533.8018181,4.05694494
NA,,Prince Edward Island,Canada,11/1/2020 4:36,46.5107,-63.4168,64,0,64,0,"Prince Edward Island, Canada",40.46586325,0
NA,,Quebec,Canada,11/1/2020 4:36,52.9399,-73.5491,106016,6246,90576,9194,"Quebec, Canada",1241.74336,5.891563538
NA,,Saskatchewan,Canada,11/1/2020 4:36,52.9399,-106.4509,3144,25,2380,739,"Saskatchewan, Canada",266.0650302,0.795165394
NA,,Yukon,Canada,11/1/2020 4:36,64.2823,-135,23,1,17,5,"Yukon, Canada",55.99104143,4.347826087
